countyFIPS,County Name,No Diploma,High School,Associate's,Bachelor's,Graduate,Foreign Born
0500000US04005,"Coconino County, Arizona",3606,17279,7088,18637,14874,5052
0500000US04013,"Maricopa County, Arizona",200414,671626,264954,641198,370334,668288
0500000US04015,"Mohave County, Arizona",17157,55224,14602,13958,8053,13242
0500000US04017,"Navajo County, Arizona",8469,20945,6478,5185,4459,2428
0500000US04019,"Pima County, Arizona",51014,156065,58406,134431,97377,141996
0500000US04021,"Pinal County, Arizona",26936,97185,27789,45318,17647,39275
0500000US04025,"Yavapai County, Arizona",12083,47369,15036,28432,23437,17050
0500000US04027,"Yuma County, Arizona",16409,35591,11710,12459,6968,56225
0500000US05007,"Benton County, Arkansas",10160,53130,12511,41162,22967,34015
0500000US05031,"Craighead County, Arkansas",4169,23643,6371,11232,7049,4891
0500000US05045,"Faulkner County, Arkansas",2853,24953,7127,16010,6519,3246
0500000US05051,"Garland County, Arkansas",4271,20930,6042,13383,7346,4031
0500000US05069,"Jefferson County, Arkansas",4483,18015,3115,5507,2907,1246
0500000US05085,"Lonoke County, Arkansas",3524,20122,4371,6161,3222,2045
0500000US05119,"Pulaski County, Arkansas",15074,70334,22041,56208,37567,21399
0500000US05125,"Saline County, Arkansas",7283,29344,6948,14965,7521,4605
0500000US05131,"Sebastian County, Arkansas",9018,24440,5889,14157,7267,11242
0500000US05143,"Washington County, Arkansas",12128,39707,8791,27896,18539,27150
0500000US05145,"White County, Arkansas",6637,21972,5054,5119,3284,1363
0500000US06001,"Alameda County, California",62208,206361,74221,350691,254123,541271
0500000US06007,"Butte County, California",11310,31262,14060,29686,14144,15700
0500000US06013,"Contra Costa County, California",46067,143469,65185,207074,137706,303990
0500000US06017,"El Dorado County, California",5995,31638,15701,34900,15291,17281
0500000US06019,"Fresno County, California",66072,136503,58640,91545,45271,206037
0500000US06023,"Humboldt County, California",6546,19235,10992,19112,9180,7490
0500000US06025,"Imperial County, California",18312,26050,7102,15536,5033,53016
0500000US06029,"Kern County, California",58690,155083,46521,64784,29512,178403
0500000US06031,"Kings County, California",14231,21507,6346,11434,5311,31474
0500000US06033,"Lake County, California",4461,14354,3814,4687,2594,6775
0500000US06037,"Los Angeles County, California",581694,1438678,482385,1551191,798358,3401887
0500000US06039,"Madera County, California",11918,25071,7977,10116,3906,31025
0500000US06041,"Marin County, California",5658,21022,11194,68445,44064,46338
0500000US06045,"Mendocino County, California",5674,13788,5647,8963,5383,10100
0500000US06047,"Merced County, California",19780,40709,12313,17021,7155,79527
0500000US06053,"Monterey County, California",22940,57017,23898,41618,29815,123974
0500000US06055,"Napa County, California",6348,17961,8147,21590,13730,29237
0500000US06057,"Nevada County, California",2341,17061,8265,17364,10220,6695
0500000US06059,"Orange County, California",145322,391016,169466,568673,334171,949825
0500000US06061,"Placer County, California",9562,50657,31085,78201,39817,51488
0500000US06065,"Riverside County, California",134245,425630,133859,243719,137572,525953
0500000US06067,"Sacramento County, California",62602,246619,102669,220172,110417,327353
0500000US06071,"San Bernardino County, California",153584,358404,112024,203015,109680,468907
0500000US06073,"San Diego County, California",129381,415370,188990,560064,352583,761933
0500000US06075,"San Francisco County, California",33872,83279,34056,245885,169239,296969
0500000US06077,"San Joaquin County, California",42246,141126,40829,68256,28539,175163
0500000US06079,"San Luis Obispo County, California",11131,37166,17608,43577,27494,27300
